player,IP,W,L,SV,HLD
"Morgan, Eli",71.3,3.6,3.4,0,19
"Pallante, Andre",71.3,3.7,3.3,0,19
"Karinchak, James",71.3,3.7,3.3,0,16
"Murfee, Penn",71.3,3.4,3.6,0,12
"McHugh, Collin",71.3,3.9,3.1,0,19
"Peterson, David",69.7,4.2,3.1,0,2
"Armstrong, Shawn",69.5,3.6,3.3,1,9
"Underwood Jr., Duane",69.5,3.3,3.5,0,19
"Barria, Jaime",69.5,3.3,3.5,0,16
"Cabrera, Genesis",69.5,3.4,3.4,0,19
"De Los Santos, Enyel",69.5,3.6,3.2,0,6
"Lawrence, Justin",69.5,3.6,3.2,0,19
"Akin, Keegan",69.5,3.6,3.2,0,6
"Luetge, Lucas",69.5,3.6,3.2,0,13
"Winder, Josh",68.8,3.5,3.9,0,3
"Jameson, Drey",68.6,3.8,3.9,0,0
"Vest, Will",67.8,3.2,3.5,2,9
"Skubal, Tarik",67.7,3.7,3.7,0,0
"Martin, Corbin",66.3,2.9,3.8,0,5
"Megill, Tylor",66.3,4,3,0,2
"Miller, Shelby",65.9,3.2,3.2,0,18
"Farmer, Buck",65.9,3.1,3.4,0,11
"Garcia, Jarlin",65.9,3.2,3.3,0,6
"Rucker, Michael",65.9,3.1,3.4,0,12
"Crismatt, Nabil",65.9,3.4,3.1,0,12
"Duran, Jhoan",65.9,3.8,2.6,12,18
"Moran, Jovani",65.9,3.5,3,0,6
"Helsley, Ryan",65.9,3.7,2.7,25,3
"Nance, Tommy",65.9,3.3,3.2,0,6
"Marinaccio, Ron",65.9,3.4,3.1,0,14
"Oller, Adam",65.5,2.6,4.3,0,12
"Houck, Tanner",65.2,3.4,3.1,0,10
"Schmidt, Clarke",64.9,3.6,3.2,0,7
"Tepera, Ryan",64.8,3.2,3.2,5,19
"Givens, Mychal",64.8,3.1,3.2,2,14
"Alexander, Scott",64.8,3.2,3.2,0,19
"Garcia, Yimi",64.8,3.3,3,1,19
"Ottavino, Adam",64.8,3.3,3.1,1,19
"Montero, Rafael",64.8,3.4,2.9,5,19
"Chafin, Andrew",64.8,3.3,3.1,7,19
"Fulmer, Michael",64.8,3.1,3.3,5,19
"Floro, Dylan",64.8,3.1,3.2,3,16
"Johnson, Pierce",64.8,3.3,3,0,19
"Rogers, Taylor",64.8,3.4,2.9,5,19
"Stephenson, Robert",64.8,3.1,3.2,3,15
"Edwards Jr., Carl",64.8,3,3.3,5,19
"Stratton, Chris",64.8,3.2,3.1,0,14
"Chargois, JT",64.8,3.1,3.2,0,19
"Peralta, Wandy",64.8,3.4,3,0,16
"Lopez, Jorge",64.8,3.3,3,12,16
"Diaz, Edwin",64.8,3.9,2.5,35,0
"Graveman, Kendall",64.8,3.3,3,7,16
"Lopez, Reynaldo",64.8,3.4,3,7,16
"Iglesias, Raisel",64.8,3.6,2.8,30,0
"Guerra, Javy",64.8,3,3.3,0,12
"Jansen, Kenley",64.8,3.3,3.1,25,3
"Bard, Daniel",64.8,3.5,2.9,25,3
"Bass, Anthony",64.8,3.4,3,0,19
"Milner, Hoby",64.8,3.2,3.2,0,14
"Adam, Jason",64.8,3.3,3,7,19
"Wick, Rowan",64.8,3.1,3.2,2,16
"Barlow, Scott",64.8,3.2,3.1,15,13
"Holmes, Clay",64.8,3.6,2.8,25,3
"Romano, Jordan",64.8,3.6,2.8,35,0
"Gallegos, Giovanny",64.8,3.4,2.9,5,19
"Wilson, Steven",64.8,3.3,3,0,6
"Almonte, Yency",64.8,3.3,3.1,5,19
"Tate, Dillon",64.8,3.2,3.2,1,19
"Dominguez, Seranthony",64.8,3.4,3,10,16
"Phillips, Evan",64.8,3.5,2.9,10,19
"Herget, Jimmy",64.8,3.2,3.2,10,16
"May, Trevor",64.8,3,3.4,10,16
"Finnegan, Kyle",64.8,3.2,3.2,7,16
"Harvey, Hunter",64.8,3.2,3.2,2,17
"Baker, Bryan",64.8,3.3,3.1,3,16
"Williams, Devin",64.8,3.5,2.9,30,0
"Soto, Gregory",64.8,3.4,3,5,16
"Loaisiga, Jonathan",64.8,3.4,2.9,3,19
"Bautista, Felix",64.8,3.5,2.8,25,3
"Acevedo, Domingo",64.8,2.9,3.5,0,19
"Ginkel, Kevin",64.8,3.2,3.1,7,16
"Lamet, Dinelson",64.8,3.4,2.9,0,14
"Clase, Emmanuel",64.8,3.7,2.6,35,0
"Munoz, Andres",64.8,3.7,2.6,5,19
"Stephan, Trevor",64.8,3.4,2.9,3,19
"Diaz, Alexis",64.8,3.1,3.2,20,6
"Jimenez, Dany",64.8,2.9,3.5,5,16
"Brash, Matt",64.8,3.4,3,0,19
"Doval, Camilo",64.8,3.4,3,25,3
"Coleman, Dylan",64.8,3.2,3.1,2,19
"Schreiber, John",64.8,3.4,3,3,21
"Foley, Jason",64.8,3,3.3,0,6
"Hughes, Brandon",64.8,3.2,3.1,7,16
"Vesia, Alex",64.8,3.5,2.8,5,19
"Garcia, Luis",64.8,3.6,2.8,3,19
"Pressly, Ryan",64.8,3.7,2.7,30,3
"Robertson, David",64.8,3.3,3,3,19
"Brieske, Beau",64.2,3.1,3.9,0,3
"Payamps, Joel",64.1,3.1,3.2,0,6
"Marte, Yunior",64.1,3.2,3.1,0,6
"Alcala, Jorge",64.1,3.2,3,0,6
"Martinez, Seth",64.1,3.2,3.1,0,6
"Ort, Kaleb",64.1,3.1,3.2,0,6
"Wantz, Andrew",64.1,3.2,3.1,0,17
"Gott, Trevor",63.2,3,3.2,0,19
"Smith, Drew",63.2,3.1,3.1,0,19
"Arano, Victor",63.2,3,3.2,0,16
"Maton, Phil",63.2,3.2,3,0,19
"Cousins, Jake",63.2,3.2,3,0,6
"Crawford, Kutter",63.2,3.3,3.2,0,4
"Mills, Alec",62.6,2.9,4.4,0,0
"Groome, Jay",62.6,3.7,3.6,0,0
"Liberatore, Matthew",62.6,3.1,3.6,0,1
"Duffy, Danny",62.4,3.1,3.4,0,2
"Brigham, Jeff",62.4,3.1,3,0,12
"Gibaut, Ian",62.4,3,3.2,0,6
"Lee, Dylan",62.4,3.4,2.7,0,17
"Sandlin, Nick",61.6,3,3,0,15
"Sewald, Paul",60.8,3,2.9,18,9
"Norris, Daniel",60.6,2.9,3.1,0,6
"Long, Sam",60.4,2.6,3.3,0,5
"Junis, Jakob",60.3,3,3.1,0,4
"Curtiss, John",59.9,2.9,3,0,10
"Quijada, Jose",59.9,3.1,2.7,0,18
"Festa, Matt",59.9,2.9,3,0,11
"Elder, Bryce",59.9,3.6,2.9,0,2
"Hernandez, Elieser",59.6,3.1,3,0,4
"Topa, Justin",58.9,2.8,3,0,12
"Bird, Jake",58.9,3,2.8,0,11
"Boxberger, Brad",58.3,2.7,3,5,19
"Loup, Aaron",58.3,2.9,2.8,0,19
"Bellatti, Andrew",58.3,3,2.7,0,15
"Rodriguez, Joely",58.3,3,2.7,0,17
"Neris, Hector",58.3,3.1,2.6,3,19
"Bush, Matt",58.3,3,2.7,2,19
"Okert, Steven",58.3,2.9,2.8,2,19
"Hader, Josh",58.3,3.4,2.3,35,0
"Estevez, Carlos",58.3,2.9,2.8,8,16
"Mantiply, Joe",58.3,3,2.7,2,19
"Castro, Miguel",58.3,2.9,2.8,0,19
"Jimenez, Joe",58.3,3.2,2.6,0,19
"Stanek, Ryne",58.3,3,2.7,1,19
"Melancon, Mark",58.3,2.7,3,5,16
"Martin, Chris",58.3,3.1,2.6,2,17
"Raley, Brooks",58.3,3,2.7,1,19
"Thielbar, Caleb",58.3,3.1,2.6,0,19
"Brebbia, John",58.3,2.7,3,0,19
"Alvarado, Jose",58.3,3.3,2.4,0,19
"Minter, A.J.",58.3,3.3,2.4,0,19
"Poche, Colin",58.3,2.9,2.8,5,19
"Staumont, Josh",58.3,2.8,2.9,2,16
"Cisnero, Jose",58.3,2.6,3.1,2,19
"Brogdon, Connor",58.3,2.9,2.8,0,16
"Cimber, Adam",58.3,2.9,2.8,3,19
"Castillo, Diego",58.3,2.9,2.8,5,19
"Lange, Alex",58.3,2.8,2.9,15,10
"Scott, Tanner",58.3,3.1,2.6,3,16
"Swanson, Erik",58.3,3.1,2.6,0,19
"Hill, Tim",58.3,3,2.8,0,13
"Santillan, Tony",58.3,2.8,2.9,2,16
"Enright, Nic",58.3,2.8,2.9,0,6
"Fairbanks, Pete",58.3,3.2,2.5,15,12
"Colome, Alex",58.3,2.6,3.1,0,14
"Jackson, Zach",58.3,2.7,3,3,19
"Richards, Trevor",58.3,3.1,2.6,0,13
"Perez, Cionel",58.3,3,2.7,0,19
"Smith, Will",58.3,2.8,2.9,3,19
"Kelly, Joe",58.3,3.1,2.6,0,19
"Gaddis, Hunter",58.1,2.6,3.3,0,4
"Bubic, Kris",57.3,2.7,3.8,0,0
"Sampson, Adrian",57.1,2.7,3.1,0,4
"Devenski, Chris",57,2.7,2.9,0,5
"VerHagen, Drew",57,2.8,2.8,0,9
"Hearn, Taylor",57,2.8,2.8,0,10
"Megill, Trevor",57,2.9,2.7,0,5
"Nelson, Nick",57,2.8,2.8,0,5
"Holderman, Colin",57,2.8,2.8,0,5
"Strahm, Matt",56.9,2.9,2.7,0,19
"Brasier, Ryan",56.9,2.9,2.7,0,19
"Ferguson, Caleb",56.9,3,2.6,0,19
"Bleier, Richard",56.9,2.9,2.7,2,13
"Sims, Lucas",56.7,2.7,2.8,3,14
"Leclerc, Jose",56.7,2.8,2.8,15,11
"Knebel, Corey",56.7,2.7,2.8,2,14
"Ruiz, Jose",56.7,2.8,2.8,0,16
"Brazoban, Huascar",56.7,2.8,2.7,0,14
"Puk, A.J.",56.7,2.9,2.7,5,14
"Alzolay, Adbert",56.7,2.9,2.7,3,14
