last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Smith, Pavin,656976,2022,67,28,33,90,1,75,24,
Thomas, Lane,657041,2022,132,41,52,201,8,146,62,
Verdugo, Alex,657077,2022,86,42,74,240,1,152,75,
DeJong, Paul,657557,2022,79,21,25,60,3,77,19,
Laureano, Ramon,657656,2022,104,25,34,130,11,94,49,
Papierski, Michael,657709,2022,26,10,4,17,0,39,7,
Sheets, Gavin,657757,2022,86,27,53,155,0,124,34,
Olivares, Edward,658668,2022,36,10,15,66,2,53,24,
Moncada, Yoan,660162,2022,114,32,51,140,2,104,41,
Ohtani, Shohei,660271,2022,161,72,95,304,11,157,90,
Tsutsugo, Yoshi,660294,2022,50,19,19,39,0,50,11,
Castillo, Diego,660636,2022,75,14,29,100,1,96,28,
Brujan, Vidal,660644,2022,37,12,16,38,5,52,13,
Garcia, Dermis,660650,2022,55,8,20,45,0,39,13,
Acuna Jr., Ronald,660670,2022,126,53,50,193,29,119,71,
Ruiz, Keibert,660688,2022,50,30,36,142,6,112,33,
Montero, Elehuris,660707,2022,60,8,20,76,0,53,21,
Gonzalez, Oscar,660757,2022,75,15,43,167,1,91,39,
Yepez, Juan,660766,2022,61,16,30,113,0,76,27,
Sanchez, Jesus,660821,2022,92,26,36,126,1,98,38,
Contreras, William,661388,2022,104,39,45,169,2,97,51,
Serven, Brian,661531,2022,44,13,16,62,0,62,19,
Varsho, Daulton,662139,2022,145,46,74,235,16,151,79,
Nootbaar, Lars,663457,2022,71,51,40,130,4,108,53,
Nevin, Tyler,663527,2022,46,20,16,41,0,58,17,
Hoerner, Nico,663538,2022,57,28,55,197,20,135,60,
Riley, Austin,663586,2022,168,57,93,325,2,159,90,
Madrigal, Nick,663611,2022,27,14,7,59,3,59,19,
Larnach, Trevor,663616,2022,57,18,18,65,0,51,22,
Mountcastle, Ryan,663624,2022,154,43,85,235,4,145,62,
McKenna, Ryan,663630,2022,55,11,11,53,2,104,23,
Hayes, Ke'Bryan,663647,2022,122,48,41,174,20,136,55,
Tucker, Kyle,663656,2022,95,59,107,260,25,150,71,
India, Jonathan,663697,2022,94,31,41,146,3,103,48,
Bart, Joey,663698,2022,112,26,25,95,2,97,34,
Raleigh, Cal,663728,2022,122,38,63,181,1,119,46,
Fortes, Nick,663743,2022,45,18,24,85,5,72,41,
Grisham, Trent,663757,2022,150,57,53,154,7,152,58,
Vierling, Matt,663837,2022,70,23,32,114,7,117,41,
Rivas III, Alfonso,663845,2022,87,29,25,77,6,101,27,
Gonzalez, Romy,663853,2022,39,2,11,37,0,32,15,
Stephenson, Tyler,663886,2022,47,12,35,80,1,50,24,
Williams, Luke,663897,2022,44,9,6,40,11,79,21,
Rodgers, Brendan,663898,2022,101,46,63,215,0,137,72,
Lowe, Nathaniel,663993,2022,147,48,76,292,2,157,74,
Happ, Ian,664023,2022,149,58,72,252,9,158,72,
France, Ty,664034,2022,94,35,83,240,0,140,65,
Lowe, Brandon,664040,2022,61,27,25,90,1,65,31,
Bader, Harrison,664056,2022,62,15,30,104,17,86,38,
Fletcher, David,664058,2022,16,7,17,72,1,61,20,
Haggerty, Sam,664059,2022,53,18,23,71,13,83,29,
Moore, Dylan,664238,2022,75,34,24,79,21,104,41,
Garlick, Kyle,664247,2022,48,8,18,65,0,66,23,
Lopez, Alejo,664670,2022,21,9,10,48,3,59,15,
Straw, Myles,664702,2022,87,54,32,146,21,152,72,
Isbel, Kyle,664728,2022,75,16,28,87,9,106,32,
Higgins, P.J.,664731,2022,58,22,30,77,0,74,23,
Bohm, Alec,664761,2022,110,31,72,233,2,152,79,
Wade Jr., LaMonte,664774,2022,51,26,26,78,1,77,29,
Zavala, Seby,664874,2022,64,19,21,68,0,61,22,
Mendick, Danny,664901,2022,23,7,15,43,1,31,22,
Brown, Seth,664913,2022,146,51,73,222,11,150,55,
McCarthy, Jake,664983,2022,76,23,43,137,23,99,53,
Clemens, Kody,665019,2022,33,8,17,36,1,56,13,
Walsh, Jared,665120,2022,138,27,44,158,2,118,41,
Pena, Jeremy,665161,2022,135,22,63,222,11,136,72,
Celestino, Gilberto,665482,2022,77,32,24,94,4,122,30,
Guerrero Jr., Vladimir,665489,2022,116,58,97,306,8,160,90,
Pache, Cristian,665506,2022,70,15,18,58,2,91,18,
Soto, Juan,665742,2022,96,135,62,237,6,153,93,
Taveras, Leody,665750,2022,88,21,34,115,11,99,39,
Cabrera, Oswaldo,665828,2022,44,15,19,66,3,44,21,
Cruz, Oneil,665833,2022,126,28,54,149,10,87,45,
Chisholm Jr., Jazz,665862,2022,66,21,45,114,12,60,39,
Gimenez, Andres,665926,2022,112,34,69,229,20,146,66,
Kirilloff, Alex,666135,2022,36,5,21,52,0,45,14,
Lowe, Josh,666139,2022,66,15,13,62,3,52,24,
Lux, Gavin,666158,2022,95,47,42,168,7,129,66,
Moniak, Mickey,666160,2022,44,4,8,32,1,37,13,
Adell, Jo,666176,2022,107,11,27,100,4,88,22,
Beer, Seth,666179,2022,31,11,9,27,0,38,4,
Bichette, Bo,666182,2022,155,41,93,306,13,159,91,
Carlson, Dylan,666185,2022,94,45,42,164,5,128,56,
Trammell, Taylor,666211,2022,33,13,10,41,2,43,15,
Morel, Christopher,666624,2022,137,38,47,164,10,113,55,
Castro, Rodolfo,666801,2022,74,22,27,108,5,71,25,
Dalbec, Bobby,666915,2022,118,29,39,117,3,117,40,
Garcia, Adolis,666969,2022,183,40,101,276,25,156,88,
Gurriel Jr., Lourdes,666971,2022,83,31,52,181,3,121,52,
Arozarena, Randy,668227,2022,156,46,89,261,32,153,72,
Pratto, Nick,668472,2022,66,19,20,61,0,49,18,
Bleday, JJ,668709,2022,67,30,16,63,4,65,21,
Steer, Spencer,668715,2022,26,11,8,31,0,28,12,
Baddoo, Akil,668731,2022,64,24,9,54,9,73,30,
Mitchell, Cal,668751,2022,52,18,17,74,3,69,21,
Knizner, Andrew,668800,2022,62,26,25,78,0,96,28,
Reynolds, Bryan,668804,2022,141,56,62,250,7,145,74,
Rutschman, Adley,668939,2022,86,65,42,177,4,113,70,
Rojas, Josh,668942,2022,98,55,56,173,23,125,66,
Melendez Jr., MJ,669004,2022,131,66,62,181,2,129,57,
Marsh, Brandon,669016,2022,158,28,52,163,10,134,49,
Huff, Sam,669087,2022,42,11,10,45,1,44,9,
Langeliers, Shea,669127,2022,53,9,22,61,0,40,14,
Murphy, Sean,669221,2022,124,56,66,229,1,148,67,
Senzel, Nick,669222,2022,76,30,25,114,8,110,45,
Edman, Tommy,669242,2022,111,46,57,231,32,153,95,
Smith, Will,669257,2022,96,56,87,236,1,137,68,
Suwinski, Jack,669261,2022,114,41,38,134,4,106,45,
Espinal, Santiago,669289,2022,68,36,51,166,6,135,51,
Miranda, Jose,669304,2022,91,28,66,189,1,125,45,
Thompson, Bubba,669352,2022,56,7,9,53,18,55,18,
Gorman, Nolan,669357,2022,103,28,35,119,1,89,44,
Hiura, Keston,669374,2022,111,23,32,105,5,80,34,
Burger, Jake,669394,2022,56,10,26,77,0,51,20,
Allen, Nick,669397,2022,64,19,19,87,3,100,31,
Hummel, Cooper,669450,2022,64,23,17,54,4,66,20,
Smith, Josh H.,669701,2022,50,28,16,53,4,73,23,
Hays, Austin,669720,2022,114,34,60,221,2,145,66,
Hall, Darick,669742,2022,44,5,16,71,0,41,19,
Call, Alex,669743,2022,30,15,13,47,3,47,18,
Toglia, Michael,669911,2022,44,9,12,42,1,31,10,
Lopez, Nicky,670032,2022,63,29,20,119,13,141,51,
Alvarez, Yordan,670541,2022,106,78,97,288,1,135,95,
Paredes, Isaac,670623,2022,67,44,45,144,0,111,48,
Brosseau, Mike,670712,2022,48,14,23,59,2,69,15,
Walls, Taylor,670764,2022,120,52,33,116,10,142,53,
Gonzalez, Luis,670768,2022,75,30,36,112,10,98,31,
Friedl Jr., TJ,670770,2022,40,20,25,98,7,72,33,
Waters, Drew,671221,2022,40,12,18,46,0,32,14,
Garcia, Luis,671277,2022,84,11,45,147,3,93,29,
Harris II, Michael,671739,2022,107,21,64,213,20,114,75,
Kelenic, Jarred,672284,2022,61,16,17,51,5,54,20,
Kirk, Alejandro,672386,2022,58,63,63,195,0,139,59,
Perdomo, Geraldo,672695,2022,103,50,40,113,9,148,58,
Marcano, Tucupita,672779,2022,44,10,13,49,2,49,18,
Robert Jr., Luis,673357,2022,77,17,56,162,11,98,54,
Kim, Ha-Seong,673490,2022,100,51,59,198,12,150,58,
Suzuki, Seiya,673548,2022,110,42,46,172,9,111,54,
Jung, Josh,673962,2022,39,4,14,41,2,26,9,
Smith, Kevin,675656,2022,42,7,13,42,4,47,9,
Velazquez, Nelson,676369,2022,65,19,26,69,5,77,20,
