last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Semien, Marcus,543760,2018,27,.380,.305,.311,86.8,15.5,34.9,4.5,6.7,32.1,64.4,23.6,39.8,24.7,26.7,8.8,28.3,
Shaw, Travis,543768,2018,28,.460,.350,.348,88.9,16.9,31.2,10.3,6,38.3,67.1,25.2,38.3,29.2,22.2,10.3,26.7,
Springer III, George,543807,2018,28,.459,.346,.336,88.6,9.5,30.1,8.9,6.6,37.4,67.1,21.8,50.1,25.4,18.6,5.9,27.7,
Strange-Gordon, Dee,543829,2018,30,.325,.272,.287,83.2,5.8,30.2,0.2,1.6,12.5,69.1,39.5,58.4,14.3,24.3,3.1,29.0,
Gregorius, Didi,544369,2018,28,.398,.318,.327,87,16,32.8,4.7,5.6,30.8,74.7,33.1,40,25.8,22.2,11.9,28.0,
Trout, Mike,545361,2018,26,.602,.434,.446,91.2,18.6,41,16.5,8.3,46.2,57.7,18.1,31.3,33.3,28.2,7.1,29.3,
Herrera, Odubel,546318,2018,26,.357,.286,.289,86.7,13.2,28.8,4.9,5.8,31.9,69.1,38.3,45.3,21.4,21.9,11.4,26.6,
Harper, Bryce,547180,2018,25,.518,.391,.406,91,14.4,35.1,11.5,8.7,45.4,74.6,25.3,41,27.4,26.2,5.4,27.6,
Abreu, Jose,547989,2018,31,.493,.356,.341,91.3,12.2,35.4,9.1,7.6,45.2,65,34.8,44.2,19.9,28.3,7.6,26.7,
Suarez, Eugenio,553993,2018,26,.515,.373,.362,91.2,14.8,38.6,9.7,8.4,45.6,68.3,21.8,39.4,30.7,26.6,3.3,26.2,
Polanco, Gregory,570256,2018,26,.444,.338,.335,88.9,20.1,33.6,9.4,7.1,37.8,69.9,24.5,34.2,29.6,22.5,13.7,27.8,
